Date,Open,High,Low,Close,Adj Close,Volume,Labels,Labels2
2001-11-01,78.5,80.800003,77.309998,80.699997,66.679626,3166800,,
2001-11-02,80.5,82.449997,80.300003,82.25,67.960327,2721800,,
2001-11-05,83.75,85.400002,83.33000200000002,84.709999,69.99297299999999,3141900,,
2001-11-06,84.400002,86.599998,84.0,86.5,71.471947,3426500,,
2001-11-07,86.0,87.660004,85.550003,87.5,72.298241,3268700,,
2001-11-08,87.699997,88.800003,86.58000200000002,86.699997,71.637253,2934000,buy,
2001-11-09,86.300003,87.75,85.400002,86.860001,71.769432,1373300,hold,
2001-11-12,86.860001,88.099998,85.5,88.099998,72.794022,2217300,hold,
2001-11-13,89.949997,91.5,89.839996,91.050003,75.231491,3791200,hold,
2001-11-14,92.75,92.75,90.599998,91.5,75.603302,3968800,sell,sell
2001-11-15,89.690002,90.699997,88.230003,88.699997,73.289787,4265000,hold,
2001-11-16,88.599998,88.849998,87.5,87.75,72.504814,2354900,buy,buy
2001-11-19,88.75,90.550003,88.489998,90.550003,74.818344,2483500,hold,
2001-11-20,90.050003,91.239998,89.199997,89.75,74.157318,1912900,hold,
2001-11-21,88.900002,89.300003,87.5,88.150002,72.835335,1806400,hold,
2001-11-23,88.800003,90.400002,88.639999,90.150002,74.48784599999998,837500,hold,
2001-11-26,90.050003,91.940002,80.800003,91.440002,75.553696,1847400,sell,sell
2001-11-27,90.349998,90.949997,89.650002,90.0,74.36393699999998,2477900,hold,
2001-11-28,89.599998,89.790001,86.5,86.809998,71.72811899999998,3780000,hold,
2001-11-29,86.809998,89.599998,85.779999,89.349998,73.82682,3860100,hold,
2001-11-30,88.75,89.349998,87.550003,89.0,73.537651,2567900,hold,
2001-12-03,88.0,88.0,85.550003,86.010002,71.06710799999998,2880100,buy,buy
2001-12-04,87.0,87.66999799999998,85.769997,87.16999799999998,72.025574,2795000,hold,
2001-12-05,89.150002,92.400002,88.75,92.400002,76.346954,4415900,hold,
2001-12-06,92.400002,95.169998,92.050003,93.900002,77.586304,4878900,sell,sell
2001-12-07,93.699997,93.709999,91.199997,91.610001,75.694221,3220700,hold,
2001-12-10,91.5,92.199997,90.900002,91.349998,75.479355,1429700,hold,
2001-12-11,91.360001,93.599998,90.860001,91.82,75.867722,2705000,hold,
2001-12-12,91.849998,92.800003,90.800003,92.730003,76.619598,2383700,hold,
2001-12-13,91.110001,93.019997,90.75,91.0,75.190125,2442800,hold,
2001-12-14,91.099998,91.75,88.5,89.660004,74.082962,3337900,hold,
2001-12-17,89.660004,90.5,88.699997,89.139999,73.65328199999998,2026800,buy,buy
2001-12-18,89.139999,90.849998,88.699997,90.800003,75.024902,2279700,hold,
2001-12-19,90.650002,94.480003,90.199997,94.410004,78.007729,4382000,sell,sell
2001-12-20,94.0,94.739998,92.010002,92.309998,76.272614,3428700,hold,
2001-12-21,92.309998,92.720001,91.120003,92.309998,76.272614,2180000,hold,
2001-12-24,92.309998,92.760002,92.010002,92.470001,76.40477,758000,hold,
2001-12-26,92.410004,93.699997,92.099998,92.800003,76.677444,1253200,hold,
2001-12-27,91.800003,92.949997,91.800003,92.120003,76.115601,1705200,hold,
2001-12-28,92.699997,93.790001,92.339996,93.269997,77.065773,1392600,hold,
2001-12-31,93.029999,93.800003,92.720001,92.75,76.636154,1228700,hold,
2002-01-02,92.800003,92.809998,89.269997,91.07,75.24797099999998,3592600,buy,buy
2002-01-03,91.07,92.650002,90.769997,92.449997,76.38825200000002,2645700,hold,
